"id","title","year","authors","venue","doi","arxiv_id","url","citation_count","status","relevance_score","discovered_by"
"arxiv:2602.03545","Persona Generators: Generating Diverse Synthetic Personas for Arbitrary Contexts","2026","Davide Paglieri; Logan Cross; William A. Cunningham; Joel Z. Leibo; Alexander Sasha Vezhnevets","arXiv",,"2602.03545","https://arxiv.org/abs/2602.03545",,"included_for_initial_screen","11","all:""synthetic persona"" | all:""persona generation"""
"arxiv:2601.07110","The Need for a Socially-Grounded Persona Framework for User Simulation","2026","Pranav Narayanan Venkit; Yu Li; Yada Pruksachatkun; Chien-Sheng Wu","arXiv",,"2601.07110","https://arxiv.org/abs/2601.07110",,"included_for_initial_screen","11","all:""synthetic persona"""
"arxiv:2509.10127","Population-Aligned Persona Generation for LLM-based Social Simulation","2025","Zhengyu Hu; Jianxun Lian; Zheyuan Xiao; Max Xiong; Yuxuan Lei; Tianfu Wang; Kaize Ding; Ziang Xiao; Nicholas Jing Yuan; Xing Xie","arXiv",,"2509.10127","https://arxiv.org/abs/2509.10127",,"included_for_initial_screen","10","all:""persona generation"" | all:""social simulation"" AND all:""large language model"""
"arxiv:2601.22396","Culturally Grounded Personas in Large Language Models: Characterization and Alignment with Socio-Psychological Value Frameworks","2026","Candida M. Greco; Lucio La Cava; Andrea Tagarelli","arXiv",,"2601.22396","https://arxiv.org/abs/2601.22396",,"included_for_initial_screen","9","all:""persona generation"" | all:""large language model"" AND all:persona"
"arxiv:2603.19791","Text-Based Personas for Simulating User Privacy Decisions","2026","Kassem Fawaz; Ren Yi; Octavian Suciu; Rishabh Khandelwal; Hamza Harkous; Nina Taft; Marco Gruteser","arXiv",,"2603.19791","https://arxiv.org/abs/2603.19791",,"included_for_initial_screen","9","all:""persona generation"""
"arxiv:2502.18712","TrajLLM: A Modular LLM-Enhanced Agent-Based Framework for Realistic Human Trajectory Simulation","2025","Chenlu Ju; Jiaxin Liu; Shobhit Sinha; Hao Xue; Flora Salim","arXiv",,"2502.18712","https://arxiv.org/abs/2502.18712",,"included_for_initial_screen","9","all:""persona generation"""
"arxiv:2511.07338","DeepPersona: A Generative Engine for Scaling Deep Synthetic Personas","2025","Zhen Wang; Yufan Zhou; Zhongyan Luo; Lyumanshan Ye; Adam Wood; Man Yao; Saab Mansour; Luoshang Pan","arXiv",,"2511.07338","https://arxiv.org/abs/2511.07338",,"included_for_initial_screen","9","all:""synthetic persona"""
"arxiv:2507.14922","Synthia: Scalable Grounded Persona Generation from Social Media Data","2025","Vahid Rahimzadeh; Erfan Moosavi Monazzah; Mohammad Taher Pilehvar; Yadollah Yaghoobzadeh","arXiv",,"2507.14922","https://arxiv.org/abs/2507.14922",,"included_for_initial_screen","9","all:""persona generation"""
"arxiv:2510.22170","Measure what Matters: Psychometric Evaluation of AI with Situational Judgment Tests","2025","Alexandra Yost; Shreyans Jain; Shivam Raval; Grant Corser; Allen Roush; Nina Xu; Jacqueline Hammack; Ravid Shwartz-Ziv; Amirali Abdullah","arXiv",,"2510.22170","https://arxiv.org/abs/2510.22170",,"included_for_initial_screen","9","all:""synthetic persona"""
"arxiv:2503.16527","LLM Generated Persona is a Promise with a Catch","2025","Ang Li; Haozhe Chen; Hongseok Namkoong; Tianyi Peng","arXiv",,"2503.16527","https://arxiv.org/abs/2503.16527",,"included_for_initial_screen","9","all:""synthetic persona"" | all:""persona generation"" | all:""LLM"" AND all:persona"
"arxiv:2407.17387","PERSONA: A Reproducible Testbed for Pluralistic Alignment","2024","Louis Castricato; Nathan Lile; Rafael Rafailov; Jan-Philipp Fränken; Chelsea Finn","arXiv",,"2407.17387","https://arxiv.org/abs/2407.17387",,"included_for_initial_screen","9","all:""synthetic persona"""
"arxiv:2408.06929","Evaluating Cultural Adaptability of a Large Language Model via Simulation of Synthetic Personas","2024","Louis Kwok; Michal Bravansky; Lewis D. Griffin","arXiv",,"2408.06929","https://arxiv.org/abs/2408.06929",,"included_for_initial_screen","9","all:""synthetic persona"""
"arxiv:2604.15461","Evaluating LLM Simulators as Differentially Private Data Generators","2026","Nassima M. Bouzid; Dehao Yuan; Nam H. Nguyen; Mayana Pereira","arXiv",,"2604.15461","https://arxiv.org/abs/2604.15461",,"included_for_initial_screen","8","all:""synthetic persona"""
"arxiv:2603.22837","Analysing LLM Persona Generation and Fairness Interpretation in Polarised Geopolitical Contexts","2026","Maida Aizaz; Quang Minh Nguyen","arXiv",,"2603.22837","https://arxiv.org/abs/2603.22837",,"included_for_initial_screen","8","all:""persona generation"""
"arxiv:2602.00044","When LLMs Imagine People: A Human-Centered Persona Brainstorm Audit for Bias and Fairness in Creative Applications","2026","Hongliu Cao; Eoin Thomas; Rodrigo Acuna Agost","arXiv",,"2602.00044","https://arxiv.org/abs/2602.00044",,"included_for_initial_screen","8","all:""persona generation"""
"doi:10.1145/3708319.3733685","Simulating Human Opinions with Large Language Models: Opportunities and Challenges for Personalized Survey Data Modeling","2025","Carolin Kaiser; Jakob Kaiser; Vladimir Manewitsch; Lea Rau; René Schallner","User Modeling, Adaptation, and Personalization","10.1145/3708319.3733685",,"https://doi.org/10.1145/3708319.3733685","27","included_for_initial_screen","8","language models simulate human samples silicon sampling"
